hour,grid_purchase,grid_feedin
0,2125602.0,50482.0
1,1420502.0,71651.0
2,1632835.0,118036.0
3,770287.0,343602.0
4,216737.0,572127.0
5,167730.0,127197.0
6,262075.0,11423.0
7,873026.0,5184.0
8,1600957.0,3203.0
9,1236858.0,3477.0
10,1197676.0,2686.0
11,1209100.0,2244.0
12,1310424.0,2123.0
13,1144135.0,1122.0
14,1030533.0,1670.0
15,1068267.0,1878.0
16,912995.0,1780.0
17,876819.0,108.0
18,916951.0,73.0
19,911902.0,333.0
20,1110177.0,31.0
21,1374998.0,695.0
22,2216951.0,262.0
23,3178088.0,20843.0
